session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Tue Apr 16 14:59:07 MDT 2019;false
bfp_sn_pl;1555446515_260862584367;.guru99.com;/;Tue Apr 16 14:59:07 MDT 2019;false
bafp;3602d430-6086-11e9-953b-81afbd82695e;.demo.guru99.com;/;Mon Dec 30 17:00:00 MST 2030;false
_ga;GA1.2.1801939175.1555446539;.guru99.com;/;Thu Apr 15 14:29:07 MDT 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Apr 16 14:29:58 MDT 2019;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;.guru99.com;/;Mon Dec 30 17:00:00 MST 2030;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1555446540083;.guru99.com;/;Mon Dec 30 17:00:00 MST 2030;false
_gid;GA1.2.1493801780.1555446539;.guru99.com;/;Wed Apr 17 14:29:07 MDT 2019;false
